question_id,question_text,decomposition,program,operators,split
SPIDER_train_0,How many heads of the departments are older than 56 ?,return heads of  departments ;return #1 older than  56 ;return number of  #2,"[""SELECT['heads of departments']"", ""FILTER['#1', 'older than 56']"", ""AGGREGATE['count', '#2']""]","['select', 'filter', 'aggregate']",train
SPIDER_train_1,"List the name, born state and age of the heads of departments ordered by age.","return departments ;return heads of  #1 ;return names of  #2 ;return born states of  #2 ;return ages of  #2 ;return #3 ,  #4 , #5 ;return #6 sorted by #5","[""SELECT['departments']"", ""PROJECT['heads of #REF', '#1']"", ""PROJECT['names of #REF', '#2']"", ""PROJECT['born states of #REF', '#2']"", ""PROJECT['ages of #REF', '#2']"", ""UNION['#3', '#4', '#5']"", ""SORT['#6', '#5']""]","['select', 'project', 'project', 'project', 'project', 'union', 'sort']",train
SPIDER_train_10,How many acting statuses are there?,return acting statuses ;return number of #1,"[""SELECT['acting statuses']"", ""AGGREGATE['count', '#1']""]","['select', 'aggregate']",train
SPIDER_train_100,What are the ids of the students who either registered or attended a course?,"return students ;return #1 who  registered in a course ;return #1 who  attended a course ;return #2 ,  #3 ;return ids of  #4","[""SELECT['students']"", ""FILTER['#1', 'who registered in a course']"", ""FILTER['#1', 'who attended a course']"", ""UNION['#2', '#3']"", ""PROJECT['ids of #REF', '#4']""]","['select', 'filter', 'filter', 'union', 'project']",train
SPIDER_train_1000,Return the total and minimum enrollments across all schools.,"return schools ;return enrollments of  #1 ;return minimum of  #2 ;return sum of  #2 ;return #4 ,   #3","[""SELECT['schools']"", ""PROJECT['enrollments of #REF', '#1']"", ""AGGREGATE['min', '#2']"", ""AGGREGATE['sum', '#2']"", ""UNION['#4', '#3']""]","['select', 'project', 'aggregate', 'aggregate', 'union']",train
SPIDER_train_1001,Find the total student enrollment for different affiliation type schools.,return affiliation types ;return schools of #1 ;return student enrollments of #2 ;return sum of #3 for each #1,"[""SELECT['affiliation types']"", ""PROJECT['schools of #REF', '#1']"", ""PROJECT['student enrollments of #REF', '#2']"", ""GROUP['sum', '#3', '#1']"", ""UNION['#1', '#4']""]","['select', 'project', 'project', 'group', 'union']",train
SPIDER_train_1002,What are the total enrollments of universities of each affiliation type?,return affiliation types ;return universities of  #1 ;return enrollments of  #2 ;return sum of  #3 for each  #1,"[""SELECT['affiliation types']"", ""PROJECT['universities of #REF', '#1']"", ""PROJECT['enrollments of #REF', '#2']"", ""GROUP['sum', '#3', '#1']"", ""UNION['#1', '#4']""]","['select', 'project', 'project', 'group', 'union']",train
SPIDER_train_1003,How many schools do not participate in the basketball match?,return schools ;return #1 that  participate in the  basketball match ;return #1 besides #2 ;return number of  #3,"[""SELECT['schools']"", ""FILTER['#1', 'that participate in the basketball match']"", ""DISCARD['#1', '#2']"", ""AGGREGATE['count', '#3']""]","['select', 'filter', 'discard', 'aggregate']",train
SPIDER_train_1004,Count the number of universities that do not participate in the baketball match.,return universities ;return #1 that  participate in baketball match ;return #1 besides #2 ;return number of #3,"[""SELECT['universities']"", ""FILTER['#1', 'that participate in baketball match']"", ""DISCARD['#1', '#2']"", ""AGGREGATE['count', '#3']""]","['select', 'filter', 'discard', 'aggregate']",train
SPIDER_train_1005,Find the schools that were either founded after 1850 or public.,return schools ;return #1 founded after 1850 ;return #1 that  are  public ;return #2 or  #3,"[""SELECT['schools']"", ""FILTER['#1', 'founded after 1850']"", ""FILTER['#1', 'that are public']"", ""UNION['#2', '#3']""]","['select', 'filter', 'filter', 'union']",train
